Date,Code libellé,Libellé,Mini,Maxi,Moyen,Unité prix,,,
2018-01-04,57219316,ANANAS standard (hors Victoria),1,19,2,15,1,64,la pièce
2018-01-04,57219214,BANANE Afrique vrac,,,1,34,le kg,,
2018-01-04,57219236,BANANE Amérique vrac,,,1,4,le kg,,
2018-01-04,57219375,BANANE biologique,,,1,99,le kg,,
2018-01-04,57219361,CLÉMENTINE hors Fr. vrac,,,2,4,le kg,,
2018-01-04,57219319,KIWI France cdt 1kg,,,2,75,le kg,,
2018-01-04,57222318,KIWI France vrac,0,45,0,59,0,5,la pièce
2018-01-04,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,77,le kg,,
2018-01-04,57219322,LITCHI vrac,,,3,7,le kg,,
2018-01-04,57219323,MANGUE vrac,0,99,1,99,1,61,la pièce
2018-01-04,57222876,MARRON CHATAIGNE France vrac,,,7,88,le kg,,
2018-01-04,57219360,NOIX AOP Grenoble sac 1kg,,,5,89,le kg,,
2018-01-04,57223741,NOIX AOP Grenoble vrac,,,5,75,le kg,,
2018-01-04,57223725,NOIX sans label France sachet 500g,,,6,4,le kg,,
2018-01-04,57221274,NOIX sans label France vrac,,,6,12,le kg,,
2018-01-04,57219324,ORANGE vrac,1,49,1,99,1,79,le kg
2018-01-04,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,52,le kg,,
2018-01-04,57219329,POIRE Conférence hors Fr. vrac,,,2,51,le kg,,
2018-01-04,57219331,POIRE Doyenne du comice hors Fr. vrac,,,2,2,le kg,,
2018-01-04,57219332,POIRE Williams verte hors Fr. vrac,,,2,69,le kg,,
2018-01-04,57219327,POMME Bicolore France sachet 2kg,,,1,26,le kg,,
2018-01-04,57219328,POMME Braeburn France +170g vrac,,,1,99,le kg,,
2018-01-04,57219226,POMME Gala France +170g vrac,,,1,79,le kg,,
2018-01-04,57219227,POMME Golden France +170g vrac,1,39,1,99,1,89,le kg
2018-01-04,57219372,POMME Golden France biologique,,,3,56,le kg,,
2018-01-04,57219228,POMME Golden France sachet 2kg,0,8,1,35,1,14,le kg
2018-01-04,57219229,POMME Granny smith France +170g vrac,,,2,15,le kg,,
2018-01-11,57219316,ANANAS standard (hors Victoria),1,39,1,99,1,74,la pièce
2018-01-11,57219214,BANANE Afrique vrac,,,1,65,le kg,,
2018-01-11,57219236,BANANE Amérique vrac,,,1,42,le kg,,
2018-01-11,57219375,BANANE biologique,1,99,1,99,1,96,le kg
2018-01-11,57219361,CLÉMENTINE hors Fr. vrac,,,1,98,le kg,,
2018-01-11,57219319,KIWI France cdt 1kg,,,2,75,le kg,,
2018-01-11,57222318,KIWI France vrac,0,25,0,49,0,46,la pièce
2018-01-11,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,57,le kg,,
2018-01-11,57219322,LITCHI vrac,,,3,48,le kg,,
2018-01-11,57219323,MANGUE vrac,0,59,1,99,1,51,la pièce
2018-01-11,57219360,NOIX AOP Grenoble sac 1kg,,,5,89,le kg,,
2018-01-11,57223741,NOIX AOP Grenoble vrac,,,5,53,le kg,,
2018-01-11,57223725,NOIX sans label France sachet 500g,,,5,98,le kg,,
2018-01-11,57221274,NOIX sans label France vrac,,,5,86,le kg,,
2018-01-11,57219324,ORANGE vrac,1,25,1,99,1,66,le kg
2018-01-11,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,52,le kg,,
2018-01-11,57219329,POIRE Conférence hors Fr. vrac,,,1,79,le kg,,
2018-01-11,57219331,POIRE Doyenne du comice hors Fr. vrac,,,3,le kg,,,
2018-01-11,57219332,POIRE Williams verte hors Fr. vrac,,,2,87,le kg,,
2018-01-11,57219327,POMME Bicolore France sachet 2kg,,,1,31,le kg,,
2018-01-11,57219328,POMME Braeburn France +170g vrac,,,1,99,le kg,,
2018-01-11,57219226,POMME Gala France +170g vrac,,,2,5,le kg,,
2018-01-11,57219227,POMME Golden France +170g vrac,1,89,2,39,2,3,le kg
2018-01-11,57219372,POMME Golden France biologique,,,3,3,le kg,,
2018-01-11,57219228,POMME Golden France sachet 2kg,0,8,1,3,1,9,le kg
2018-01-11,57219229,POMME Granny smith France +170g vrac,,,2,15,le kg,,
2018-01-18,57219316,ANANAS standard (hors Victoria),1,29,2,19,1,73,la pièce
2018-01-18,57219214,BANANE Afrique vrac,,,1,45,le kg,,
2018-01-18,57219236,BANANE Amérique vrac,,,1,28,le kg,,
2018-01-18,57219375,BANANE biologique,1,99,1,99,1,97,le kg
2018-01-18,57219361,CLÉMENTINE hors Fr. vrac,1,49,2,19,1,94,le kg
2018-01-18,57219319,KIWI France cdt 1kg,,,2,65,le kg,,
2018-01-18,57222318,KIWI France vrac,0,25,0,49,0,42,la pièce
2018-01-18,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,7,le kg,,
2018-01-18,57219322,LITCHI vrac,,,3,69,le kg,,
2018-01-18,57219323,MANGUE vrac,0,89,1,99,1,46,la pièce
2018-01-18,57219360,NOIX AOP Grenoble sac 1kg,,,5,89,le kg,,
2018-01-18,57223741,NOIX AOP Grenoble vrac,,,5,18,le kg,,
2018-01-18,57223725,NOIX sans label France sachet 500g,,,6,26,le kg,,
2018-01-18,57221274,NOIX sans label France vrac,,,5,93,le kg,,
2018-01-18,57219324,ORANGE vrac,1,29,2,2,1,74,le kg
2018-01-18,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,51,le kg,,
